Item Number,Brand,Processor,Screen Size (in),Color,Ram Size (GB),SSD Capacity (GB),GPU,Processor Speed (GHz),Type,Resolution Size,Maximum Resolution,Model,OS,Hard Drive Capacity (GB),Storage Type,Condition,Price ($)
85264981001,Chuwi,Quad Core,14.0,Gray,8.0,1000.0,Intel Iris Plus Graphics 655,3.8,Notebook/Laptop,Large,2160 x 1440,CHUWI CoreBook X,Windows 11 Home,512,SSD,New,303.68
85264981003,Dell,Intel Core i5,14.0,Black,16.0,500.0,Intel HD Graphics,2.4,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude E5470,Windows 10 Pro,500,SSD,Used,175.0
85264981014,Chuwi,Intel Celeron,14.1,Gray,8.0,256.0,Intel UHD Graphics 600,2.8,Notebook/Laptop,Medium,1920 x 1080,CHUWI LapBook Pro,Windows 11 Home,256,SSD,New,151.99
85264981015,Chuwi,Intel Core i5,14.0,Gray,8.0,512.0,Intel Iris Plus Graphics 655,3.8,Notebook/Laptop,Large,2160 x 1440,CHUWI CoreBook X,Windows 10,512,SSD + HDD,New,243.99
85264981018,Dell,Intel Celeron,11.0,Black,4.0,128.0,Intel UHD Graphics 600,1.1,Notebook/Laptop,Small,1366 x 768,Dell Latitude 3189,Windows 10 Pro,128,SSD,Used,129.99
85264981019,Acer,Intel Celeron,11.6,Gray,4.0,16.0,Intel HD Graphics,1.6,Notebook/Laptop,Small,1366 x 768,Acer Chromebook C731,Chrome OS,16,SSD,Used,39.99
85264981023,Dell,Intel Core i5,12.5,Black,8.0,256.0,Intel HD Graphics,2.6,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude 5289,Windows 10,256,SSD,Used,199.99
85264981028,HP,Intel Core i5,15.6,Silver,32.0,2000.0,Intel Iris Xe Graphics,4.2,Notebook/Laptop,Medium,1920 x 1080,HP 15 Essential,Windows 11 Home,2000,SSD,New,629.0
85264981030,Dell,Intel Core i5,15.6,Black,16.0,512.0,Intel HD Graphics 620,3.1,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude 5580,Windows 10 Pro,512,SSD,Very Good,344.99
85264981031,Chuwi,Quad Core,15.6,Gray,16.0,512.0,Intel UHD Graphics,3.4,Notebook/Laptop,Medium,1920 x 1080,GemiBook Plus,Windows 11 Home,512,SSD,New,241.99
85264981035,Chuwi,Intel Celeron,14.1,Gray,8.0,256.0,Intel UHD Graphics 600,2.8,Notebook/Laptop,Medium,1920 x 1080,CHUWI LapBook Pro,Windows 11 Home,256,SSD,New,149.99
85264981040,Chuwi,Intel Celeron,13.5,Gray,12.0,512.0,Intel UHD Graphics,2.8,Notebook/Laptop,Large,2256 x 1504,CHUWI FreeBook,Windows 10 Home,12,SSD,New,269.49
85264981042,Dell,AMD Ryzen 5,15.6,Black,16.0,512.0,AMD Radeon Graphics,4.5,Notebook/Laptop,Medium,1920 x 1080,Dell Inspiron 15 3535,Windows 11 Home,512,SSD,New,489.0
85264981048,HP,Intel Celeron,11.6,Multicolor,4.0,16.0,Intel HD Graphics 500,2.4,Notebook/Laptop,Small,1366 x 768,Chromebook 11 G6 EE,Chrome OS,16,eMMC,Very Good,84.99
85264981050,HP,Intel Celeron,11.6,Black,4.0,16.0,Intel HD Graphics,1.6,Chromebook,Small,1366 x 768,Samsung ChromeBook,Chrome OS,16,eMMC,Used,69.99
85264981052,Dell,Intel Core i7,12.5,Black,8.0,256.0,Intel HD Graphics 520,2.6,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude E7270,Windows 10 Pro,256,SSD,Used,129.95
85264981056,Dell,Intel Core i5,15.6,Black,8.0,256.0,NVIDIA GeForce GTX 1050 Ti,2.5,Notebook/Laptop,Medium,1920 x 1080,Dell Inspiron 15 7000,Windows 10 Home,0,SSD,Used,199.99
85264981061,Lenovo,Intel Core i5,15.6,Grey,20.0,1000.0,Intel Iris Xe Graphics,4.2,Notebook/Laptop,Medium,1920 x 1080,Lenovo Ideapad 3i,Windows 11 Home,1000,SSD,New,599.0
85264981066,HP,Intel Core i5,14.0,Silver,32.0,500.0,Intel UHD Graphics 620,2.6,Notebook/Laptop,Medium,1920 x 1080,Hp Elitlebook G5,Windows 11 Pro,500,SSD,Very Good,289.99
85264981070,Dell,Intel Core i5,14.0,Black,8.0,256.0,Intel HD Graphics,2.4,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude Rugged 5414,Windows 10 Pro,256,SSD,Used,200.0
85264981072,SGIN,Intel Celeron,15.6,Silver,12.0,512.0,AMD Radeon Graphics,2.8,Notebook/Laptop,Large,1920 x 1200,X15,Windows 11 Home,12,SSD,New,225.0
85264981074,Dell,Intel Core i5,14.0,Gray,16.0,512.0,Intel HD Graphics 630,1.7,Notebook/Laptop,Medium,1920 x 1080,5410,Not Included,512,SSD,Used,229.0
85264981076,Lenovo,Intel Core i7,14.1,Black,16.0,512.0,Intel HD Graphics 520,2.6,Notebook/Laptop,Large,2560 x 1440,Lenovo ThinkPad X1 Yoga,Windows 10 Pro,512,SSD,Used,179.99
85264981085,HP,Intel Core i7,11.6,Silver,8.0,256.0,Intel HD Graphics 4000,2.1,Notebook/Laptop,Small,1366 x 768,HP Elitebook Revolve 810 G2,Windows 10 Pro,256,SSD,Used,259.0
85264981087,Acer,Intel Celeron,11.6,Gray,4.0,32.0,Intel HD Graphics 400,2.48,Notebook/Laptop,Small,1366 x 768,C731T-C0X8,Chrome OS,32,eMMC,Used,41.0
85264981118,Acer,Intel Celeron,14.0,Silver,4.0,128.0,Intel UHD Graphics 600,1.1,Notebook/Laptop,Medium,1920 x 1080,Acer Swift 1,Windows 11 Home,128,SSD,Used,89.99
85264981123,HP,Intel Core i5,15.6,Silver,8.0,256.0,Intel Iris Xe Graphics,2.4,Notebook/Laptop,Medium,1920 x 1080,15-dy2795wm,Windows 11 Home,256,SSD,New,389.95
85264981309,HP,Intel Core i5,15.6,Silver,64.0,2000.0,NVIDIA GeForce GTX 1650,4.4,Gaming Laptop Computer,Medium,1920 x 1080,HP Victus 15,Windows 11 Home,2000,SSD,New,1089.0
85264981577,Lenovo,Intel Core i3,15.6,Gray,8.0,256.0,Intel UHD Graphics,1.2,Notebook/Laptop,Medium,1920 x 1080,Lenovo IdeaPad 3 15IAU7,Windows 11 Home,8,SSD,Open box,203.05
85264981580,Dell,Intel Core i7,14.0,Black,32.0,1000.0,Intel HD Graphics 620,1.9,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude 7490,Windows 11 Pro,1000,SSD,Excellent,369.99
85264981604,Microsoft,Intel Core i5,13.5,Silver,8.0,256.0,Intel HD Graphics,1.5,Notebook/Laptop,Large,2256 x 1504,Microsoft Surface Laptop 3,Windows 10 Pro,256,SSD,Used,259.84
85264981605,HP,Intel Core i7,14.0,Silver,8.0,256.0,Intel UHD Graphics 620,1.9,Notebook/Laptop,Medium,1920 x 1080,Elitebook 840 G5,Windows 11 Pro,256,SSD,Used,172.0
85264981612,Lenovo,Intel Core i7,14.1,Purple,16.0,256.0,NVIDIA GEFORCE GT 730M,2.9,Notebook,Small,1600 x 900,ThinkPad T460p,Windows 10 Pro,0,SSD,Used,187.77
